file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0400 RAME 7 LIQUIDO 500G.png,EN0400,b65b4270-804f-402e-9243-949ae3f511bc,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b65b4270-804f-402e-9243-949ae3f511bc/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b65b4270-804f-402e-9243-949ae3f511bc/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0401 RAME 7 LIQUIDO 1KG.png,EN0401,01c1be23-38bb-4d6c-b3d0-e10f99cb7d5e,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/01c1be23-38bb-4d6c-b3d0-e10f99cb7d5e/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/01c1be23-38bb-4d6c-b3d0-e10f99cb7d5e/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0404 RAME 16 LIQUIDO 1KG.png,EN0404,d1d4bb68-05b9-4ac2-b743-850486463999,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/d1d4bb68-05b9-4ac2-b743-850486463999/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/d1d4bb68-05b9-4ac2-b743-850486463999/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0403 RAME 16 LIQUIDO 500G.png,EN0403,78fa2e7e-579a-4ed3-a1a1-5e794f63116b,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/78fa2e7e-579a-4ed3-a1a1-5e794f63116b/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/78fa2e7e-579a-4ed3-a1a1-5e794f63116b/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0424 TOPI GIUSTA DOSE 250ML.png,EN0424,9db80e01-e62f-4b61-9160-54cc4a61890f,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/9db80e01-e62f-4b61-9160-54cc4a61890f/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/9db80e01-e62f-4b61-9160-54cc4a61890f/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0420 ACETO SPRAY 1LT.png,EN0420,76f1e4a8-dbb0-4cd6-9836-fdb9a73a5b54,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/76f1e4a8-dbb0-4cd6-9836-fdb9a73a5b54/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/76f1e4a8-dbb0-4cd6-9836-fdb9a73a5b54/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0428 ZANZARE LAVANDA GIUSTA DOSE 250ml.png,EN0428,0ad7a2c7-8743-421e-b514-d64426592649,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/0ad7a2c7-8743-421e-b514-d64426592649/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/0ad7a2c7-8743-421e-b514-d64426592649/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0426 SCORPIONI GIUSTA DOSE 250ML.png,EN0426,e0b61f87-81f4-4f19-a002-73ecab55f11b,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/e0b61f87-81f4-4f19-a002-73ecab55f11b/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/e0b61f87-81f4-4f19-a002-73ecab55f11b/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0430 FORZA 1 SPRAY 500ML.png,EN0430,1732f9d4-35fb-4778-8a2a-7b24312fdc9d,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/1732f9d4-35fb-4778-8a2a-7b24312fdc9d/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/1732f9d4-35fb-4778-8a2a-7b24312fdc9d/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0432 FORZA 3 SPRAY 500ML.png,EN0432,b73423b6-a026-49ad-ba7e-c34a3ee8331f,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b73423b6-a026-49ad-ba7e-c34a3ee8331f/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b73423b6-a026-49ad-ba7e-c34a3ee8331f/thumb.webp,
