file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/CONTROLLER NEEM +SAPONE MOLLE SPRAY 1 lt.png,CONTROLLER,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 800G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST POLVERE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0008 EUCALIPTO SFERAGEL 180ml.png,EN0008,e211d319-393d-4214-be95-67450bff7a05,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/e211d319-393d-4214-be95-67450bff7a05/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/e211d319-393d-4214-be95-67450bff7a05/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0009 ANTI TARME SFERAGEL 180ml.png,EN0009,b32f4bde-3c9a-4ddb-b314-60bfa46a45fa,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b32f4bde-3c9a-4ddb-b314-60bfa46a45fa/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/b32f4bde-3c9a-4ddb-b314-60bfa46a45fa/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0007 LAVANDA SFERAGEL 180ml.png,EN0007,202289d3-ec15-48d0-84a6-b974df84759a,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/202289d3-ec15-48d0-84a6-b974df84759a/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/202289d3-ec15-48d0-84a6-b974df84759a/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0006 CITRONELLA SFERAGEL 180ml.png,EN0006,dc33a53c-0ced-438e-87c1-6e4bf15e3490,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/dc33a53c-0ced-438e-87c1-6e4bf15e3490/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/dc33a53c-0ced-438e-87c1-6e4bf15e3490/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0010 CITRONELLA SFERAGEL 360ml.png,EN0010,a22fb92e-5dc3-4a2e-b000-b0dc21fd711b,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/a22fb92e-5dc3-4a2e-b000-b0dc21fd711b/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/a22fb92e-5dc3-4a2e-b000-b0dc21fd711b/thumb.webp,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0011 LAVANDA SFERAGEL 360ml.png,EN0011,db8d7953-6dbf-4e91-9009-1774b4c12a3f,uploaded,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/db8d7953-6dbf-4e91-9009-1774b4c12a3f/main.webp,https://pfpvsahrmwbhkgvjidnr.supabase.co/storage/v1/object/public/product-photos/db8d7953-6dbf-4e91-9009-1774b4c12a3f/thumb.webp,
