file_path,product_id,product_code,product_name,status,photo_url,message
007d9e1a-ee90-4666-9ad0-a53b69184db1/,007d9e1a-ee90-4666-9ad0-a53b69184db1,,,skipped,,product not found
00eae529-b236-495d-bcf3-4759d0092c31/,00eae529-b236-495d-bcf3-4759d0092c31,,,skipped,,product not found
01798282-91b6-41f9-93d4-bb34ba831788/,01798282-91b6-41f9-93d4-bb34ba831788,,,skipped,,product not found
01c1be23-38bb-4d6c-b3d0-e10f99cb7d5e/,01c1be23-38bb-4d6c-b3d0-e10f99cb7d5e,,,skipped,,product not found
01d93336-ae41-428e-97f5-4e52dc1fc596/,01d93336-ae41-428e-97f5-4e52dc1fc596,,,skipped,,product not found
01f7c7e3-b94b-4566-8cdd-271ad55c7a0b/,01f7c7e3-b94b-4566-8cdd-271ad55c7a0b,,,skipped,,product not found
02436095-6beb-4a6f-bb24-e1bd4b70b71d/,02436095-6beb-4a6f-bb24-e1bd4b70b71d,,,skipped,,product not found
02612f14-073b-4ee4-b88b-4defb8f26172/,02612f14-073b-4ee4-b88b-4defb8f26172,,,skipped,,product not found
027b681e-dbcd-4a8a-8768-1c2c0d36b8d8/,027b681e-dbcd-4a8a-8768-1c2c0d36b8d8,,,skipped,,product not found
03023de5-74ac-490e-ab1e-d5dec1bd866e/,03023de5-74ac-490e-ab1e-d5dec1bd866e,,,skipped,,product not found
05680a98-6e3a-4fb5-bb00-24476549d092/,05680a98-6e3a-4fb5-bb00-24476549d092,,,skipped,,product not found
081a3577-1134-4725-bcb1-79e193ec9cac/,081a3577-1134-4725-bcb1-79e193ec9cac,,,skipped,,product not found
083f04d6-a948-48d3-b9c4-81b4743d207b/,083f04d6-a948-48d3-b9c4-81b4743d207b,,,skipped,,product not found
09fd26ce-fc31-40f8-89c0-d855bebed6d7/,09fd26ce-fc31-40f8-89c0-d855bebed6d7,,,skipped,,product not found
0a28068a-2be1-4ce8-8f6b-98ac04fa6ae8/,0a28068a-2be1-4ce8-8f6b-98ac04fa6ae8,,,skipped,,product not found
0a5c8772-ea3e-4226-9d80-a1842d85d094/,0a5c8772-ea3e-4226-9d80-a1842d85d094,,,skipped,,product not found
0a69288c-5e91-4ae5-8f5b-66e2130955f0/,0a69288c-5e91-4ae5-8f5b-66e2130955f0,,,skipped,,product not found
0a6f3582-5a2b-4aee-a07a-56793d145721/,0a6f3582-5a2b-4aee-a07a-56793d145721,,,skipped,,product not found
0a7ffd7e-aec4-47c5-a22c-ff684302b025/,0a7ffd7e-aec4-47c5-a22c-ff684302b025,,,skipped,,product not found
0ad7a2c7-8743-421e-b514-d64426592649/,0ad7a2c7-8743-421e-b514-d64426592649,,,skipped,,product not found
0b47c410-b23e-4611-8beb-67a72ec10f8e/,0b47c410-b23e-4611-8beb-67a72ec10f8e,,,skipped,,product not found
0b5759aa-3dd4-4582-96ef-22062a987765/,0b5759aa-3dd4-4582-96ef-22062a987765,,,skipped,,product not found
0b7a0525-526b-4567-875a-a4ff0acca4c4/,0b7a0525-526b-4567-875a-a4ff0acca4c4,,,skipped,,product not found
0bd7a26a-53d7-460c-9627-e4f9b48e7326/,0bd7a26a-53d7-460c-9627-e4f9b48e7326,,,skipped,,product not found
0d02199c-dafa-4cec-9a19-1145ef327f55/,0d02199c-dafa-4cec-9a19-1145ef327f55,,,skipped,,product not found
0d02ee44-ff0c-450b-96e5-adfe2314161e/,0d02ee44-ff0c-450b-96e5-adfe2314161e,,,skipped,,product not found
0d76f531-c308-47b0-a331-b966955b00b0/,0d76f531-c308-47b0-a331-b966955b00b0,,,skipped,,product not found
1107ab73-a52b-49b8-b60b-86b716640096/,1107ab73-a52b-49b8-b60b-86b716640096,,,skipped,,product not found
11e0e757-27a7-4d4b-9393-375557ec27dc/,11e0e757-27a7-4d4b-9393-375557ec27dc,,,skipped,,product not found
12049ad8-c172-46b4-927f-9f6c67f6c8b4/,12049ad8-c172-46b4-927f-9f6c67f6c8b4,,,skipped,,product not found
136011a1-5573-4175-93d7-e392b52160fe/,136011a1-5573-4175-93d7-e392b52160fe,,,skipped,,product not found
14116d1a-c581-4f9a-985f-3c7120d4fed4/,14116d1a-c581-4f9a-985f-3c7120d4fed4,,,skipped,,product not found
143fac4e-0368-40d8-84e5-3f201ae87afc/,143fac4e-0368-40d8-84e5-3f201ae87afc,,,skipped,,product not found
