file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0050 SCORPIONI SPRAY 750ML.png,EN0050,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0051 CANI E GATTI SPRAY 1LT.png,EN0051,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0052 CANI E GATTI SPRAY 500ML.png,EN0052,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0053 CANI E GATTI SPRAY 750ML.png,EN0053,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0054 ABITUANTE SPRAY 125ml.png,EN0054,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0055 CANI E GATTI GRANULARE 1LT.png,EN0055,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0057 CANI E GATTI CUBO GEL 1LT.png,EN0057,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0058 ANTIACCOPPIAMENTO SPRAY 125ml.png,EN0058,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0059 ANTIMORSO SPRAY 500ML.png,EN0059,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0060 TALPE GRANULARE 1LT.png,EN0060,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0061 TALPA GEL 1LT.png,EN0061,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0062 TALPA CUBO GEL 1LT.png,EN0062,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0064 PICCIONI CUBO GEL 1LT.png,EN0064,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0065 PICCIONI SPRAY 1LT.png,EN0065,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0066 PICCIONI SPRAY 500ML.png,EN0066,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0067 PICCIONI GRANULARE 1LT.png,EN0067,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0068 PICCIONI GEL 1LT.png,EN0068,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0069 PICCIONI SPRAY 750ML.png,EN0069,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0073 CINGHIALI CUBO GEL 2,5LT.png",EN0073,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0074 CINGHIALI GEL 1LT.png,EN0074,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0075 CINGHIALI GRANULARE 1 lt.png,EN0075,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0076 CINGHIALI GRANULARE 2,5LT.png",EN0076,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0078 VIPERE SPRAY 1LT.png,EN0078,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0079 VIPERE SPRAY 500ML.png,EN0079,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0081 RETTILI CUBO GEL 2,5LT.png",EN0081,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0082 RETTILI CUBO GEL 1LT.png,EN0082,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0083 RETTILI GEL 1LT.png,EN0083,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0084 RETTILI SPRAY 1LT.png,EN0084,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0085 RETTILI GRANULARE 1LT.png,EN0085,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0086 GECHI SPRAY 1LT.png,EN0086,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0087 GECHI SPRAY 500ML.png,EN0087,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0090 RETTILI SPRAY 750ML.png,EN0090,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0091 VIPERE SPRAY 750ML.png,EN0091,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0092 GECHI SPRAY 750ML.png,EN0092,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0093 FORMICHE GEL 150ML .png,EN0093,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0094 FORMICHE SPRAY 500ML.png,EN0094,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0095 FORMICHE SPRAY 1LT.png,EN0095,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0096 FORMICHE GEL 1LT.png,EN0096,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0097 FORMICHE GRANULARE 1LT.png,EN0097,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0098 FORMICHE GRANULARE 500ML.png,EN0098,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0099 FORMICHE GRANULARE 250ML.png,EN0099,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0100 RATTI SPRAY 750ML.png,EN0100,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0101 RATTI SPRAY 1LT.png,EN0101,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0102 RATTI SPRAY 500ML.png,EN0102,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0103 RATTI GEL 1LT.png,EN0103,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0104 RATTI CUBO GEL 1LT.png,EN0104,,unmatched,,,no product with this code
"/Volumes/Condivisa/FOTO ENERGICA 2025/EN0105 RATTI CUBO GEL 2,5LT.png",EN0105,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0106 RATTI GRANULARE 1LT.png,EN0106,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0107 RATTI GEL 150ML.png,EN0107,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0108 ATTRATTIVO TOPI GELVANIGLIA 150ML.png,EN0108,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0109 ATTRATTIVO MELA VERDE 150ML.png,EN0109,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0110 ATTRATTIVO FORMAGGIO 150ML.png,EN0110,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0111 ATTRATTIVO CACAO 150ML.png,EN0111,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0115 disabituanteINSETTI GERANIO SPRAY 500ML.png,EN0115,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0116 ZECCHE E PULCI SPRAY TIMO 500ML.png,EN0116,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0117 SCACCIA CIMICI DA LETTO SPRAY 500ML.png,EN0117,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0118 PESCIOLINI D'ARGENTO SPRAY 500ML.png,EN0118,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0120 SALVIETTE CUOIO ENERGICA 40PZ.png,EN0120,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0124 CASSONETTI SPRAY 500ML.png,EN0124,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0125 IGIENIZZANTE CASSONETTI SPRAY 1LT.png,EN0125,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0126 CUCCE SPRAY 500ML.png,EN0126,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0127 DEODORANTE CUCCE SPRAY 1LT.png,EN0127,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0128 DEODORANTE CUCCE SPRAY 125ml.png,EN0128,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0130 LETTIERA SPRAY 500ML.png,EN0130,,unmatched,,,no product with this code
