file,code,product_id,status,public_main_url,public_thumb_url,message
/Volumes/Condivisa/FOTO ENERGICA 2025/CONTROLLER NEEM +SAPONE MOLLE SPRAY 1 lt.png,CONTROLLER,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST GRANULARE 800G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/DURAFAST POLVERE 500G.png,DURAFAST,,unmatched,,,no product with this code
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0006 CITRONELLA SFERAGEL 180ml.png,EN0006,dc33a53c-0ced-438e-87c1-6e4bf15e3490,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0007 LAVANDA SFERAGEL 180ml.png,EN0007,202289d3-ec15-48d0-84a6-b974df84759a,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0008 EUCALIPTO SFERAGEL 180ml.png,EN0008,e211d319-393d-4214-be95-67450bff7a05,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0009 ANTI TARME SFERAGEL 180ml.png,EN0009,b32f4bde-3c9a-4ddb-b314-60bfa46a45fa,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0010 CITRONELLA SFERAGEL 360ml.png,EN0010,a22fb92e-5dc3-4a2e-b000-b0dc21fd711b,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0011 LAVANDA SFERAGEL 360ml.png,EN0011,db8d7953-6dbf-4e91-9009-1774b4c12a3f,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0012 EUCALIPTO SFERAGEL 360ml.png,EN0012,c489e5cf-32c3-42af-9095-be00d2c9356c,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0013 ANTI TARME SFERAGEL 360ml.png,EN0013,7eeae322-169b-462e-b9ba-f8073cf3666f,dry-run,,,
/Volumes/Condivisa/FOTO ENERGICA 2025/EN0015 PROFUMO CITRONELLA SPRAY 750ML.png,EN0015,2602c556-da92-4b61-9a81-6716615b689a,dry-run,,,
